"","gender","race","education","state","age","employment","people_in_each_state","number_in_cell","cell_prop_of_division_total"
"181","Female","Others","Less than highschool","AL","Age_18-29","employed",7413,9,0.00121408336705787
"182","Female","Others","Less than highschool","AL","Age_18-29","unemployed",7413,3,0.000404694455685957
"183","Female","Others","Less than highschool","AL","Age_30-44","employed",7413,3,0.000404694455685957
"184","Female","Others","Less than highschool","AL","Age_30-44","unemployed",7413,10,0.00134898151895319
"185","Female","Others","Less than highschool","AL","Age_45-59","employed",7413,7,0.000944287063267233
"186","Female","Others","Less than highschool","AL","Age_45-59","unemployed",7413,16,0.0021583704303251
"187","Female","Others","Less than highschool","AL","Age_60-74","employed",7413,2,0.000269796303790638
"188","Female","Others","Less than highschool","AL","Age_60-74","unemployed",7413,23,0.00310265749359234
"189","Female","Others","Less than highschool","AL","Age_75+","unemployed",7413,29,0.00391204640496425
"190","Female","Others","Undergraduates or similar degree","AL","Age_18-29","employed",7413,184,0.0248212599487387
"191","Female","Others","Undergraduates or similar degree","AL","Age_18-29","unemployed",7413,90,0.0121408336705787
"192","Female","Others","Undergraduates or similar degree","AL","Age_30-44","employed",7413,277,0.0373667880750034
"193","Female","Others","Undergraduates or similar degree","AL","Age_30-44","unemployed",7413,77,0.0103871576959396
"194","Female","Others","Undergraduates or similar degree","AL","Age_45-59","employed",7413,282,0.03804127883448
"195","Female","Others","Undergraduates or similar degree","AL","Age_45-59","unemployed",7413,95,0.0128153244300553
"196","Female","Others","Undergraduates or similar degree","AL","Age_60-74","employed",7413,112,0.0151085930122757
"197","Female","Others","Undergraduates or similar degree","AL","Age_60-74","unemployed",7413,231,0.0311614730878187
"198","Female","Others","Undergraduates or similar degree","AL","Age_75+","employed",7413,6,0.000809388911371914
"199","Female","Others","Undergraduates or similar degree","AL","Age_75+","unemployed",7413,104,0.0140294077971132
"200","Male","Asian","Graduates or higher degree","AL","Age_30-44","employed",7413,2,0.000269796303790638
"201","Male","Asian","Graduates or higher degree","AL","Age_45-59","employed",7413,3,0.000404694455685957
"202","Male","Asian","Graduates or higher degree","AL","Age_60-74","employed",7413,2,0.000269796303790638
"203","Male","Asian","Highschool","AL","Age_18-29","employed",7413,2,0.000269796303790638
"204","Male","Asian","Highschool","AL","Age_18-29","unemployed",7413,1,0.000134898151895319
"205","Male","Asian","Highschool","AL","Age_30-44","employed",7413,1,0.000134898151895319
"206","Male","Asian","Highschool","AL","Age_45-59","employed",7413,1,0.000134898151895319
"207","Male","Asian","Highschool","AL","Age_60-74","employed",7413,4,0.000539592607581276
"208","Male","Asian","Less than highschool","AL","Age_45-59","unemployed",7413,1,0.000134898151895319
"209","Male","Asian","Less than highschool","AL","Age_60-74","unemployed",7413,1,0.000134898151895319
"210","Male","Asian","Undergraduates or similar degree","AL","Age_18-29","employed",7413,1,0.000134898151895319
"211","Male","Asian","Undergraduates or similar degree","AL","Age_18-29","unemployed",7413,3,0.000404694455685957
"212","Male","Asian","Undergraduates or similar degree","AL","Age_30-44","employed",7413,3,0.000404694455685957
"213","Male","Asian","Undergraduates or similar degree","AL","Age_45-59","employed",7413,7,0.000944287063267233
"214","Male","Asian","Undergraduates or similar degree","AL","Age_60-74","employed",7413,2,0.000269796303790638
"215","Male","Black","Graduates or higher degree","AL","Age_18-29","employed",7413,2,0.000269796303790638
"216","Male","Black","Graduates or higher degree","AL","Age_30-44","employed",7413,10,0.00134898151895319
"217","Male","Black","Graduates or higher degree","AL","Age_45-59","employed",7413,8,0.00107918521516255
"218","Male","Black","Graduates or higher degree","AL","Age_45-59","unemployed",7413,1,0.000134898151895319
"219","Male","Black","Graduates or higher degree","AL","Age_60-74","employed",7413,4,0.000539592607581276
"220","Male","Black","Graduates or higher degree","AL","Age_60-74","unemployed",7413,4,0.000539592607581276
"221","Male","Black","Graduates or higher degree","AL","Age_75+","unemployed",7413,5,0.000674490759476595
"222","Male","Black","Highschool","AL","Age_18-29","employed",7413,43,0.00580062053149872
"223","Male","Black","Highschool","AL","Age_18-29","unemployed",7413,35,0.00472143531633617
"224","Male","Black","Highschool","AL","Age_30-44","employed",7413,48,0.00647511129097531
"225","Male","Black","Highschool","AL","Age_30-44","unemployed",7413,43,0.00580062053149872
"226","Male","Black","Highschool","AL","Age_45-59","employed",7413,72,0.00971266693646297
"227","Male","Black","Highschool","AL","Age_45-59","unemployed",7413,47,0.00634021313907999
"228","Male","Black","Highschool","AL","Age_60-74","employed",7413,20,0.00269796303790638
"229","Male","Black","Highschool","AL","Age_60-74","unemployed",7413,60,0.00809388911371914
"230","Male","Black","Highschool","AL","Age_75+","employed",7413,2,0.000269796303790638
"231","Male","Black","Highschool","AL","Age_75+","unemployed",7413,17,0.00229326858222042
"232","Male","Black","Less than highschool","AL","Age_18-29","unemployed",7413,6,0.000809388911371914
"233","Male","Black","Less than highschool","AL","Age_30-44","employed",7413,1,0.000134898151895319
"234","Male","Black","Less than highschool","AL","Age_30-44","unemployed",7413,3,0.000404694455685957
"235","Male","Black","Less than highschool","AL","Age_45-59","employed",7413,1,0.000134898151895319
"236","Male","Black","Less than highschool","AL","Age_45-59","unemployed",7413,2,0.000269796303790638
"237","Male","Black","Less than highschool","AL","Age_60-74","employed",7413,2,0.000269796303790638
"238","Male","Black","Less than highschool","AL","Age_60-74","unemployed",7413,6,0.000809388911371914
"239","Male","Black","Less than highschool","AL","Age_75+","unemployed",7413,6,0.000809388911371914
"240","Male","Black","Undergraduates or similar degree","AL","Age_18-29","employed",7413,35,0.00472143531633617
"241","Male","Black","Undergraduates or similar degree","AL","Age_18-29","unemployed",7413,25,0.00337245379738298
"242","Male","Black","Undergraduates or similar degree","AL","Age_30-44","employed",7413,57,0.00768919465803319
"243","Male","Black","Undergraduates or similar degree","AL","Age_30-44","unemployed",7413,5,0.000674490759476595
